#VALUE!,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,        Year
109,18-10-2023,CUST109,Female,34,Electronics,4,500,2000,2023
110,11-06-2023,CUST110,Male,27,Clothing,3,300,900,2023
111,19-04-2023,CUST111,Female,34,Electronics,3,500,1500,2023
112,02-12-2023,CUST112,Male,37,Clothing,3,500,1500,2023
113,13-09-2023,CUST113,Female,41,Electronics,2,25,50,2023
114,22-07-2023,CUST114,Female,22,Beauty,4,25,100,2023
115,26-11-2023,CUST115,Male,51,Clothing,3,500,1500,2023
116,23-08-2023,CUST116,Female,23,Clothing,1,30,30,2023
117,15-03-2023,CUST117,Male,19,Electronics,2,500,1000,2023
118,16-05-2023,CUST118,Female,30,Electronics,4,500,2000,2023
119,13-03-2023,CUST119,Female,60,Clothing,3,50,150,2023
120,07-05-2023,CUST120,Male,60,Beauty,1,50,50,2023
121,15-10-2023,CUST121,Female,28,Electronics,4,50,200,2023
122,03-10-2023,CUST122,Male,64,Electronics,4,30,120,2023
123,15-05-2023,CUST123,Female,40,Electronics,2,30,60,2023
124,27-10-2023,CUST124,Male,33,Clothing,4,500,2000,2023
125,08-08-2023,CUST125,Male,48,Clothing,2,50,100,2023
126,26-10-2023,CUST126,Female,28,Clothing,3,30,90,2023
127,24-07-2023,CUST127,Female,33,Clothing,2,25,50,2023
128,05-07-2023,CUST128,Male,25,Beauty,1,500,500,2023
129,23-04-2023,CUST129,Female,21,Beauty,2,300,600,2023
130,12-03-2023,CUST130,Female,57,Clothing,1,500,500,2023
131,18-09-2023,CUST131,Female,21,Beauty,2,300,600,2023
132,10-09-2023,CUST132,Male,42,Electronics,4,50,200,2023
133,16-02-2023,CUST133,Male,20,Electronics,3,300,900,2023
134,25-01-2023,CUST134,Male,49,Electronics,1,50,50,2023
135,26-02-2023,CUST135,Male,20,Clothing,2,25,50,2023
136,20-03-2023,CUST136,Male,44,Electronics,2,300,600,2023
137,18-11-2023,CUST137,Male,46,Beauty,2,500,1000,2023
138,23-03-2023,CUST138,Male,49,Clothing,4,50,200,2023
139,15-12-2023,CUST139,Male,36,Beauty,4,500,2000,2023
140,05-08-2023,CUST140,Male,38,Electronics,1,30,30,2023
141,02-11-2023,CUST141,Female,22,Electronics,1,50,50,2023
142,02-02-2023,CUST142,Male,35,Electronics,4,300,1200,2023
143,17-07-2023,CUST143,Female,45,Clothing,1,50,50,2023
144,15-07-2023,CUST144,Female,59,Beauty,3,500,1500,2023
145,02-11-2023,CUST145,Female,39,Clothing,3,25,75,2023
146,28-08-2023,CUST146,Male,38,Clothing,4,50,200,2023
147,28-09-2023,CUST147,Male,23,Electronics,1,300,300,2023
148,09-05-2023,CUST148,Male,18,Clothing,2,30,60,2023
149,11-10-2023,CUST149,Male,22,Clothing,3,25,75,2023
150,06-01-2023,CUST150,Female,58,Electronics,4,30,120,2023
151,15-12-2023,CUST151,Male,29,Clothing,1,50,50,2023
152,28-02-2023,CUST152,Male,43,Electronics,4,500,2000,2023
153,16-12-2023,CUST153,Male,63,Electronics,2,500,1000,2023
154,02-10-2023,CUST154,Male,51,Electronics,3,300,900,2023
155,17-05-2023,CUST155,Male,31,Electronics,4,500,2000,2023
156,25-11-2023,CUST156,Female,43,Clothing,4,25,100,2023
157,24-06-2023,CUST157,Male,62,Electronics,4,500,2000,2023
158,27-02-2023,CUST158,Female,44,Electronics,2,300,600,2023
159,31-05-2023,CUST159,Male,26,Clothing,4,50,200,2023
160,11-08-2023,CUST160,Female,43,Clothing,2,50,100,2023
161,22-03-2023,CUST161,Male,64,Beauty,2,500,1000,2023
162,21-08-2023,CUST162,Male,39,Clothing,2,30,60,2023
163,02-01-2023,CUST163,Female,64,Clothing,3,50,150,2023
164,15-05-2023,CUST164,Female,47,Beauty,3,500,1500,2023
165,14-09-2023,CUST165,Female,60,Clothing,4,300,1200,2023
166,02-04-2023,CUST166,Male,34,Clothing,4,500,2000,2023
167,17-09-2023,CUST167,Female,43,Clothing,3,50,150,2023
168,24-02-2023,CUST168,Male,53,Clothing,1,300,300,2023
169,17-11-2023,CUST169,Male,18,Beauty,3,500,1500,2023
170,02-06-2023,CUST170,Female,25,Clothing,2,25,50,2023
171,24-11-2023,CUST171,Female,52,Clothing,3,300,900,2023
172,17-09-2023,CUST172,Male,32,Beauty,2,25,50,2023
173,08-11-2023,CUST173,Male,64,Electronics,4,30,120,2023
174,12-04-2023,CUST174,Female,39,Beauty,1,300,300,2023
175,20-03-2023,CUST175,Female,31,Electronics,4,25,100,2023
176,11-07-2023,CUST176,Female,43,Beauty,2,50,100,2023
177,24-03-2023,CUST177,Male,45,Beauty,2,50,100,2023
178,04-10-2023,CUST178,Male,40,Clothing,2,30,60,2023
179,29-09-2023,CUST179,Male,31,Electronics,1,300,300,2023
180,01-01-2023,CUST180,Male,41,Clothing,3,300,900,2023
181,03-11-2023,CUST181,Male,19,Electronics,4,300,1200,2023
182,15-06-2023,CUST182,Male,62,Beauty,4,30,120,2023
183,08-09-2023,CUST183,Female,43,Beauty,3,300,900,2023
184,10-01-2023,CUST184,Male,31,Electronics,4,50,200,2023
185,27-02-2023,CUST185,Male,24,Clothing,1,25,25,2023
186,05-07-2023,CUST186,Male,20,Clothing,4,50,200,2023
187,07-06-2023,CUST187,Female,64,Clothing,2,50,100,2023
188,03-05-2023,CUST188,Male,40,Clothing,3,25,75,2023
189,30-01-2023,CUST189,Male,63,Beauty,1,50,50,2023
190,04-05-2023,CUST190,Female,60,Beauty,3,30,90,2023
191,18-10-2023,CUST191,Male,64,Beauty,1,25,25,2023
192,10-02-2023,CUST192,Male,62,Beauty,2,50,100,2023
193,13-02-2023,CUST193,Male,35,Beauty,3,500,1500,2023
194,06-09-2023,CUST194,Male,55,Clothing,4,50,200,2023
195,05-02-2023,CUST195,Male,52,Clothing,1,30,30,2023
196,30-09-2023,CUST196,Female,32,Clothing,3,300,900,2023
197,06-03-2023,CUST197,Female,42,Clothing,4,50,200,2023
198,07-03-2023,CUST198,Female,54,Beauty,3,300,900,2023
199,04-12-2023,CUST199,Male,45,Beauty,3,500,1500,2023
200,01-09-2023,CUST200,Male,27,Beauty,3,50,150,2023
201,09-10-2023,CUST201,Male,56,Electronics,1,25,25,2023
202,26-03-2023,CUST202,Female,34,Clothing,4,300,1200,2023
203,16-05-2023,CUST203,Male,56,Clothing,2,500,1000,2023
204,28-09-2023,CUST204,Male,39,Beauty,1,25,25,2023
205,07-11-2023,CUST205,Female,43,Clothing,1,25,25,2023
206,05-08-2023,CUST206,Male,61,Clothing,1,25,25,2023
207,19-04-2023,CUST207,Female,42,Beauty,2,25,50,2023
208,04-10-2023,CUST208,Female,34,Electronics,4,50,200,2023
209,20-12-2023,CUST209,Female,30,Electronics,4,50,200,2023
210,13-04-2023,CUST210,Male,37,Electronics,4,50,200,2023
211,01-01-2024,CUST211,Male,42,Beauty,3,500,1500,2024
212,09-06-2023,CUST212,Male,21,Clothing,3,500,1500,2023
213,24-07-2023,CUST213,Male,27,Beauty,3,500,1500,2023
214,10-12-2023,CUST214,Male,20,Beauty,2,30,60,2023
215,29-11-2023,CUST215,Male,58,Clothing,3,500,1500,2023
216,11-07-2023,CUST216,Male,62,Electronics,2,50,100,2023
217,13-08-2023,CUST217,Female,35,Electronics,4,50,200,2023
218,22-09-2023,CUST218,Male,64,Beauty,3,30,90,2023
219,20-08-2023,CUST219,Female,53,Electronics,3,30,90,2023
220,03-03-2023,CUST220,Male,64,Beauty,1,500,500,2023
221,07-05-2023,CUST221,Male,39,Beauty,2,300,600,2023
222,26-04-2023,CUST222,Male,51,Clothing,4,30,120,2023
223,02-02-2023,CUST223,Female,64,Clothing,1,25,25,2023
224,23-06-2023,CUST224,Female,25,Clothing,1,50,50,2023
225,11-01-2023,CUST225,Female,57,Beauty,4,25,100,2023
226,29-10-2023,CUST226,Female,61,Clothing,1,50,50,2023
227,11-10-2023,CUST227,Male,36,Electronics,2,50,100,2023
228,28-04-2023,CUST228,Female,59,Electronics,2,30,60,2023
229,29-10-2023,CUST229,Male,58,Beauty,3,30,90,2023
230,23-04-2023,CUST230,Male,54,Beauty,1,25,25,2023
231,04-01-2023,CUST231,Female,23,Clothing,3,50,150,2023
232,06-02-2023,CUST232,Female,43,Beauty,1,25,25,2023
233,29-12-2023,CUST233,Female,51,Beauty,2,300,600,2023
234,20-11-2023,CUST234,Female,62,Electronics,2,25,50,2023
235,31-01-2023,CUST235,Female,23,Electronics,2,500,1000,2023
236,28-04-2023,CUST236,Female,54,Clothing,1,25,25,2023
237,04-02-2023,CUST237,Female,50,Beauty,2,500,1000,2023
238,17-01-2023,CUST238,Female,39,Beauty,1,500,500,2023
239,19-06-2023,CUST239,Male,38,Electronics,3,500,1500,2023
240,06-02-2023,CUST240,Female,23,Beauty,1,300,300,2023
241,21-09-2023,CUST241,Female,23,Electronics,3,25,75,2023
242,02-05-2023,CUST242,Male,21,Clothing,1,25,25,2023
243,23-05-2023,CUST243,Female,47,Electronics,3,300,900,2023
244,09-12-2023,CUST244,Male,28,Beauty,2,50,100,2023
245,06-09-2023,CUST245,Male,47,Clothing,3,30,90,2023
246,20-04-2023,CUST246,Female,48,Electronics,2,25,50,2023
247,04-10-2023,CUST247,Male,41,Electronics,2,30,60,2023
248,09-03-2023,CUST248,Male,26,Clothing,3,300,900,2023
249,20-10-2023,CUST249,Male,20,Clothing,1,50,50,2023
250,23-10-2023,CUST250,Male,48,Electronics,1,50,50,2023
251,31-08-2023,CUST251,Female,57,Beauty,4,50,200,2023
252,05-05-2023,CUST252,Male,54,Electronics,1,300,300,2023
253,31-08-2023,CUST253,Female,53,Clothing,4,500,2000,2023
254,28-07-2023,CUST254,Male,41,Electronics,1,500,500,2023
255,08-04-2023,CUST255,Male,48,Clothing,1,30,30,2023
256,18-02-2023,CUST256,Male,23,Clothing,2,500,1000,2023
257,19-02-2023,CUST257,Male,19,Beauty,4,500,2000,2023
258,04-12-2023,CUST258,Female,37,Clothing,1,50,50,2023
259,09-08-2023,CUST259,Female,45,Clothing,4,50,200,2023
260,01-07-2023,CUST260,Male,28,Beauty,2,30,60,2023
261,05-08-2023,CUST261,Male,21,Clothing,2,25,50,2023
262,30-07-2023,CUST262,Female,32,Beauty,4,30,120,2023
263,28-08-2023,CUST263,Male,23,Beauty,2,30,60,2023
264,28-01-2023,CUST264,Male,47,Clothing,3,300,900,2023
265,11-12-2023,CUST265,Male,55,Clothing,3,300,900,2023
266,01-12-2023,CUST266,Female,19,Electronics,2,30,60,2023
267,27-11-2023,CUST267,Female,32,Beauty,3,30,90,2023
268,20-02-2023,CUST268,Female,28,Electronics,1,30,30,2023
269,01-02-2023,CUST269,Male,25,Clothing,4,500,2000,2023
270,26-07-2023,CUST270,Male,43,Electronics,1,300,300,2023
271,23-06-2023,CUST271,Female,62,Beauty,4,30,120,2023
272,25-02-2023,CUST272,Female,61,Electronics,2,50,100,2023
273,08-05-2023,CUST273,Female,22,Beauty,1,50,50,2023
274,09-04-2023,CUST274,Female,23,Clothing,2,500,1000,2023
275,08-04-2023,CUST275,Male,43,Clothing,2,500,1000,2023
276,02-10-2023,CUST276,Female,21,Beauty,4,25,100,2023
277,18-08-2023,CUST277,Male,36,Clothing,4,25,100,2023
278,13-03-2023,CUST278,Female,37,Clothing,4,25,100,2023
279,05-08-2023,CUST279,Male,50,Clothing,1,500,500,2023
280,04-04-2023,CUST280,Female,37,Clothing,3,500,1500,2023
281,23-05-2023,CUST281,Female,29,Beauty,4,500,2000,2023
282,25-08-2023,CUST282,Female,64,Electronics,4,50,200,2023
283,08-05-2023,CUST283,Female,18,Electronics,1,500,500,2023
284,08-02-2023,CUST284,Male,43,Clothing,4,50,200,2023
285,15-08-2023,CUST285,Female,31,Electronics,1,25,25,2023
286,09-10-2023,CUST286,Male,55,Electronics,2,25,50,2023
287,20-02-2023,CUST287,Male,54,Clothing,4,25,100,2023
288,26-01-2023,CUST288,Male,28,Clothing,4,30,120,2023
289,30-11-2023,CUST289,Male,53,Electronics,2,30,60,2023
290,04-10-2023,CUST290,Female,30,Beauty,2,300,600,2023
291,08-01-2023,CUST291,Male,60,Clothing,2,300,600,2023
292,17-02-2023,CUST292,Male,20,Beauty,4,300,1200,2023
293,02-05-2023,CUST293,Male,50,Electronics,3,30,90,2023
294,27-03-2023,CUST294,Female,23,Clothing,3,30,90,2023
295,28-07-2023,CUST295,Female,27,Beauty,3,300,900,2023
296,06-09-2023,CUST296,Female,22,Clothing,4,300,1200,2023
297,04-09-2023,CUST297,Female,40,Electronics,2,500,1000,2023
298,20-04-2023,CUST298,Male,27,Beauty,4,300,1200,2023
299,25-07-2023,CUST299,Male,61,Electronics,2,500,1000,2023
300,31-01-2023,CUST300,Female,19,Electronics,4,50,200,2023
301,26-03-2023,CUST301,Male,30,Clothing,4,30,120,2023
302,14-07-2023,CUST302,Male,57,Beauty,2,300,600,2023
303,02-01-2023,CUST303,Male,19,Electronics,3,30,90,2023
304,19-07-2023,CUST304,Female,37,Electronics,2,30,60,2023
305,16-05-2023,CUST305,Female,18,Beauty,1,30,30,2023
306,21-08-2023,CUST306,Male,54,Electronics,1,50,50,2023
307,27-05-2023,CUST307,Female,26,Electronics,2,25,50,2023
308,05-08-2023,CUST308,Female,34,Beauty,4,300,1200,2023
309,23-12-2023,CUST309,Female,26,Beauty,1,25,25,2023
310,12-10-2023,CUST310,Female,28,Beauty,1,25,25,2023
311,05-12-2023,CUST311,Female,32,Beauty,4,25,100,2023
312,07-09-2023,CUST312,Male,41,Clothing,4,30,120,2023
313,21-03-2023,CUST313,Female,55,Beauty,3,500,1500,2023
314,08-04-2023,CUST314,Male,52,Clothing,4,30,120,2023
315,01-06-2023,CUST315,Male,47,Clothing,2,30,60,2023
316,22-04-2023,CUST316,Female,48,Clothing,2,25,50,2023
317,30-01-2023,CUST317,Male,22,Electronics,3,30,90,2023
318,24-10-2023,CUST318,Male,61,Clothing,1,25,25,2023
319,05-10-2023,CUST319,Male,31,Clothing,1,500,500,2023
320,01-02-2023,CUST320,Female,28,Electronics,4,300,1200,2023
321,10-06-2023,CUST321,Female,26,Electronics,2,25,50,2023
322,30-01-2023,CUST322,Male,51,Electronics,1,500,500,2023
323,26-01-2023,CUST323,Female,29,Beauty,3,300,900,2023
324,27-10-2023,CUST324,Female,52,Electronics,3,50,150,2023
325,02-09-2023,CUST325,Female,52,Electronics,2,25,50,2023
326,15-09-2023,CUST326,Female,18,Clothing,3,25,75,2023
327,29-09-2023,CUST327,Male,57,Electronics,3,50,150,2023
328,22-03-2023,CUST328,Male,39,Beauty,2,50,100,2023
329,30-01-2023,CUST329,Female,46,Electronics,4,25,100,2023
330,18-09-2023,CUST330,Female,25,Beauty,4,50,200,2023
331,11-02-2023,CUST331,Male,28,Electronics,3,30,90,2023
332,06-04-2023,CUST332,Male,58,Electronics,4,300,1200,2023
333,05-02-2023,CUST333,Female,54,Electronics,4,300,1200,2023
334,01-11-2023,CUST334,Male,31,Electronics,3,300,900,2023
335,04-02-2023,CUST335,Female,47,Beauty,4,30,120,2023
336,12-12-2023,CUST336,Female,52,Beauty,3,50,150,2023
337,01-05-2023,CUST337,Male,38,Clothing,1,500,500,2023
338,26-07-2023,CUST338,Male,54,Beauty,2,50,100,2023
339,03-03-2023,CUST339,Female,22,Electronics,2,25,50,2023
340,19-10-2023,CUST340,Female,36,Clothing,4,300,1200,2023
341,07-05-2023,CUST341,Male,31,Clothing,4,50,200,2023
342,24-10-2023,CUST342,Female,43,Clothing,4,500,2000,2023
343,01-11-2023,CUST343,Male,21,Electronics,2,25,50,2023
344,21-01-2023,CUST344,Female,42,Beauty,1,30,30,2023
345,14-11-2023,CUST345,Male,62,Electronics,1,30,30,2023
346,11-02-2023,CUST346,Male,59,Clothing,2,500,1000,2023
347,03-08-2023,CUST347,Male,42,Electronics,1,25,25,2023
348,03-12-2023,CUST348,Female,35,Electronics,2,300,600,2023
349,26-10-2023,CUST349,Female,57,Beauty,1,50,50,2023
350,17-10-2023,CUST350,Male,25,Beauty,3,25,75,2023
351,25-09-2023,CUST351,Female,56,Clothing,3,30,90,2023
352,11-06-2023,CUST352,Male,57,Electronics,2,500,1000,2023
353,14-05-2023,CUST353,Male,31,Electronics,1,500,500,2023
354,15-04-2023,CUST354,Female,49,Beauty,4,50,200,2023
355,09-12-2023,CUST355,Female,55,Electronics,1,500,500,2023
356,10-06-2023,CUST356,Male,50,Electronics,3,500,1500,2023
357,03-05-2023,CUST357,Female,40,Electronics,3,25,75,2023
358,16-05-2023,CUST358,Female,32,Beauty,1,300,300,2023
359,22-07-2023,CUST359,Male,50,Clothing,1,50,50,2023
360,09-03-2023,CUST360,Male,42,Clothing,4,25,100,2023
361,10-12-2023,CUST361,Female,34,Electronics,4,300,1200,2023
362,27-11-2023,CUST362,Male,50,Clothing,1,25,25,2023
363,03-06-2023,CUST363,Male,64,Beauty,1,25,25,2023
364,23-08-2023,CUST364,Female,19,Beauty,1,500,500,2023
365,11-06-2023,CUST365,Male,31,Clothing,1,300,300,2023
366,07-02-2023,CUST366,Male,57,Clothing,2,50,100,2023
367,05-01-2023,CUST367,Female,57,Electronics,1,50,50,2023
368,23-08-2023,CUST368,Female,56,Clothing,4,300,1200,2023
369,15-11-2023,CUST369,Male,23,Electronics,3,500,1500,2023
370,16-10-2023,CUST370,Male,23,Electronics,2,30,60,2023
371,21-02-2023,CUST371,Female,20,Beauty,1,25,25,2023
372,07-02-2023,CUST372,Female,24,Beauty,3,500,1500,2023
373,03-10-2023,CUST373,Female,25,Beauty,2,300,600,2023
374,20-04-2023,CUST374,Female,59,Beauty,3,25,75,2023
375,17-09-2023,CUST375,Male,32,Clothing,1,50,50,2023
376,16-05-2023,CUST376,Female,64,Beauty,1,30,30,2023
377,09-03-2023,CUST377,Female,46,Clothing,4,50,200,2023
378,28-06-2023,CUST378,Male,50,Beauty,1,300,300,2023
379,05-02-2023,CUST379,Female,47,Clothing,1,25,25,2023
380,06-05-2023,CUST380,Male,56,Electronics,2,300,600,2023
381,09-07-2023,CUST381,Female,44,Clothing,4,25,100,2023
382,26-05-2023,CUST382,Female,53,Clothing,2,500,1000,2023
383,22-03-2023,CUST383,Female,46,Beauty,3,30,90,2023
384,13-08-2023,CUST384,Male,55,Clothing,1,500,500,2023
385,06-10-2023,CUST385,Male,50,Electronics,3,500,1500,2023
386,27-12-2023,CUST386,Female,54,Electronics,2,300,600,2023
387,04-06-2023,CUST387,Male,44,Beauty,1,30,30,2023
388,10-11-2023,CUST388,Male,50,Electronics,1,25,25,2023
389,01-12-2023,CUST389,Male,21,Clothing,2,25,50,2023
390,28-09-2023,CUST390,Male,39,Electronics,2,50,100,2023
391,05-01-2023,CUST391,Male,19,Beauty,2,25,50,2023
392,08-12-2023,CUST392,Male,27,Clothing,2,300,600,2023
393,11-10-2023,CUST393,Female,22,Beauty,2,500,1000,2023
394,03-06-2023,CUST394,Female,27,Clothing,1,500,500,2023
395,06-12-2023,CUST395,Male,50,Electronics,2,500,1000,2023
396,23-02-2023,CUST396,Female,55,Beauty,1,30,30,2023
397,10-03-2023,CUST397,Female,30,Beauty,1,25,25,2023
398,16-05-2023,CUST398,Female,48,Clothing,2,300,600,2023
399,01-03-2023,CUST399,Female,64,Beauty,2,30,60,2023
400,24-02-2023,CUST400,Male,53,Clothing,4,50,200,2023
401,11-10-2023,CUST401,Female,62,Clothing,1,300,300,2023
402,21-03-2023,CUST402,Female,41,Clothing,2,300,600,2023
403,20-05-2023,CUST403,Male,32,Clothing,2,300,600,2023
404,25-05-2023,CUST404,Male,46,Electronics,2,500,1000,2023
405,06-11-2023,CUST405,Female,25,Clothing,4,300,1200,2023
406,18-04-2023,CUST406,Female,22,Beauty,4,25,100,2023
407,25-06-2023,CUST407,Female,46,Electronics,3,300,900,2023
408,15-04-2023,CUST408,Female,64,Beauty,1,500,500,2023
409,18-12-2023,CUST409,Female,21,Electronics,3,300,900,2023
410,21-11-2023,CUST410,Female,29,Clothing,2,50,100,2023
411,16-05-2023,CUST411,Male,62,Electronics,4,50,200,2023
412,16-09-2023,CUST412,Female,19,Electronics,4,500,2000,2023
413,08-09-2023,CUST413,Female,44,Beauty,3,25,75,2023
414,09-05-2023,CUST414,Male,48,Beauty,4,25,100,2023
415,27-01-2023,CUST415,Male,53,Clothing,2,30,60,2023
416,17-02-2023,CUST416,Male,53,Electronics,4,500,2000,2023
417,21-11-2023,CUST417,Male,43,Electronics,3,300,900,2023
418,05-08-2023,CUST418,Female,60,Electronics,2,500,1000,2023
